Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,5/10/20,Workplaces,-28,04000US27
Minnesota,5/11/20,Workplaces,-44,04000US27
Minnesota,5/12/20,Workplaces,-45,04000US27
Minnesota,5/13/20,Workplaces,-45,04000US27
Minnesota,5/14/20,Workplaces,-45,04000US27
Minnesota,5/15/20,Workplaces,-45,04000US27
Minnesota,5/16/20,Workplaces,-26,04000US27
Minnesota,5/17/20,Workplaces,-28,04000US27
Minnesota,5/18/20,Workplaces,-42,04000US27
Minnesota,5/19/20,Workplaces,-43,04000US27
Minnesota,5/20/20,Workplaces,-43,04000US27
Minnesota,5/21/20,Workplaces,-44,04000US27
Minnesota,5/22/20,Workplaces,-45,04000US27
Minnesota,5/23/20,Workplaces,-23,04000US27
Minnesota,5/24/20,Workplaces,-25,04000US27
Minnesota,5/25/20,Workplaces,-78,04000US27
Minnesota,5/26/20,Workplaces,-43,04000US27
Minnesota,5/27/20,Workplaces,-41,04000US27
Minnesota,5/28/20,Workplaces,-41,04000US27
Minnesota,5/29/20,Workplaces,-43,04000US27
Minnesota,5/30/20,Workplaces,-15,04000US27
Minnesota,5/31/20,Workplaces,-16,04000US27
Minnesota,6/1/20,Workplaces,-40,04000US27
Minnesota,6/2/20,Workplaces,-40,04000US27
Minnesota,6/3/20,Workplaces,-39,04000US27
Minnesota,6/4/20,Workplaces,-39,04000US27
Minnesota,6/5/20,Workplaces,-39,04000US27
Minnesota,6/6/20,Workplaces,-11,04000US27
Minnesota,6/7/20,Workplaces,-14,04000US27
Minnesota,6/8/20,Workplaces,-38,04000US27
Minnesota,6/9/20,Workplaces,-39,04000US27
Minnesota,6/10/20,Workplaces,-38,04000US27
Minnesota,6/11/20,Workplaces,-38,04000US27
Minnesota,6/12/20,Workplaces,-38,04000US27
Minnesota,6/13/20,Workplaces,-7,04000US27
Minnesota,6/14/20,Workplaces,-10,04000US27
Minnesota,6/15/20,Workplaces,-38,04000US27
Minnesota,6/16/20,Workplaces,-38,04000US27
Minnesota,6/17/20,Workplaces,-38,04000US27
Minnesota,6/18/20,Workplaces,-39,04000US27
Minnesota,6/19/20,Workplaces,-38,04000US27
Minnesota,6/20/20,Workplaces,-6,04000US27
Minnesota,6/21/20,Workplaces,-7,04000US27
Minnesota,6/22/20,Workplaces,-39,04000US27
Minnesota,6/23/20,Workplaces,-39,04000US27
Minnesota,6/24/20,Workplaces,-38,04000US27
Minnesota,6/25/20,Workplaces,-38,04000US27
Minnesota,6/26/20,Workplaces,-38,04000US27
Minnesota,6/27/20,Workplaces,-8,04000US27
Minnesota,6/28/20,Workplaces,-7,04000US27
Minnesota,6/29/20,Workplaces,-39,04000US27
Minnesota,6/30/20,Workplaces,-38,04000US27
Minnesota,7/1/20,Workplaces,-39,04000US27
Minnesota,7/2/20,Workplaces,-43,04000US27
Minnesota,7/3/20,Workplaces,-62,04000US27
Minnesota,7/4/20,Workplaces,-24,04000US27
Minnesota,7/5/20,Workplaces,-13,04000US27
Minnesota,7/6/20,Workplaces,-43,04000US27
Minnesota,7/7/20,Workplaces,-40,04000US27
Minnesota,7/8/20,Workplaces,-39,04000US27
Minnesota,7/9/20,Workplaces,-39,04000US27
Minnesota,7/10/20,Workplaces,-38,04000US27
Minnesota,7/11/20,Workplaces,-7,04000US27
Minnesota,7/12/20,Workplaces,-8,04000US27
Minnesota,7/13/20,Workplaces,-38,04000US27
Minnesota,7/14/20,Workplaces,-39,04000US27
